clade_name	S_Normal_025_008M_MPA4	S_Normal_025_17M_MPA4	S_Normal_025_34M_MPA4	S_Normal_025_068M_MPA4	S_Normal_025_102M_MPA4	S_Normal_050_008M_MPA4	S_Normal_050_17M_MPA4	S_Normal_050_34M_MPA4	S_Normal_050_068M_MPA4	S_Normal_050_102M_MPA4	S_Normal_100_008M_MPA4	S_Normal_100_17M_MPA4	S_Normal_100_34M_MPA4	S_Normal_100_068M_MPA4	S_Normal_100_102M_MPA4	S_Normal_150_008M_MPA4	S_Normal_150_17M_MPA4	S_Normal_150_34M_MPA4	S_Normal_150_068M_MPA4	S_Normal_150_102M_MPA4	S_Normal_200_008M_MPA4	S_Normal_200_17M_MPA4	S_Normal_200_34M_MPA4	S_Normal_200_068M_MPA4	S_Normal_200_102M_MPA4	S_Normal_400_008M_MPA4	S_Normal_400_17M_MPA4	S_Normal_400_34M_MPA4	S_Normal_400_068M_MPA4	S_Normal_400_102M_MPA4
s__Bartonella_henselae	0	0	0	0	0	0	0	0	0.0154852	0	0	0	0	0	0.00696	0	0	0	0	0.0065202	0.0006501	0	0	0	0	0	0.0017848	0.000368	0	0
s__Bartonella_quintana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022376	0.0014918	0	0.002639	0	0	0	0	0.0028493	0	0	0	0	0
s__Bartonella_rochalimae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000011	0	0	0	0	0
s__Bdellovibrio_bacteriovorus	0	0	0	0	0	0	0	0	0	0	0	0.0082348	0	0	0	0	0	0	0	0	0	0	0	0.0023732	0	0.0025913	0	0	0	0.0006347
s__Beggiatoa_leptomitoformis	0	0	0	0	0	0	0	0	0	0	0	0.0026976	0	0	0	0	0	0.0037782	0	0	0.0063103	0.0016894	0.0082696	0.0040176	0	0	0.0009017	0	0	0.0013494
s__Beijerinckia_indica	0	0	0	0	0	0	0	0	0	0	0	0.0078264	0	0	0	0	0	0	0.0134948	0	0.0017964	0	0	0	0	0	0	0	0	0.0032761
s__Belliella_baltica	0	0	0	0	0.0129555	0	0	0	0	0	0.0064138	0	0	0.0381416	0	0	0.0035445	0	0	0	0	0	0	0	0	0.0013732	0	0.0003772	0.0020404	0.0027347
s__Bermanella_marisrubri	0	0	0	0	0	0	0	0	0	0	0.0013381	0	0	0	0	0	0.0017231	0	0	0	0	0	0.0007885	0	0	0.0007424	0	0.000756	0	0
s__Bernardetia_litoralis	0	0	0	0	0.0173539	0	0	0	0	0	0	0.0132969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024323	0.0012766	0.0017323	0.0020869
s__Beutenbergia_cavernae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0054188	0	0	0	0	0.0015734	0.0007755	0.0035416	0.0029097	0	0.0022673
s__Bibersteinia_trehalosi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019326	0	0	0	0	0	0	0	0.005758	0	0	0	0	0	0.0006102
