Specie	S1_010_007.5M	S1_020_007.5M	S1_050_007.5M	S1_100_007.5M	S1_150_007.5M	S1_200_007.5M	S1_250_007.5M	S1_300_007.5M	S1_500_007.5M	S1_010_015M	S1_020_015M	S1_050_015M	S1_100_015M	S1_150_015M	S1_200_015M	S1_250_015M	S1_300_015M	S1_500_015M	S1_010_030M	S1_020_030M	S1_050_030M	S1_100_030M	S1_150_030M	S1_200_030M	S1_250_030M	S1_300_030M	S1_500_030M	S1_010_045M	S1_020_045M	S1_050_045M	S1_100_045M	S1_150_045M	S1_200_045M	S1_250_045M	S1_300_045M	S1_500_045M	S1_010_090M	S1_020_090M	S1_050_090M	S1_100_090M	S1_150_090M	S1_200_090M	S1_250_090M	S1_300_090M	S1_500_090M	S1_010_150M	S1_020_150M	S1_050_150M	S1_100_150M	S1_150_150M	S1_200_150M	S1_250_150M	S1_300_150M	S1_500_150M
Cellulomonas_sp008033115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006515104	0	0	0	0	0	0	0	0	0	0
Alistipes_finegoldii	0.096227506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005964116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pararhizobium_rhizosphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11252188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycobacterium_palauense	0	0	0	0	0	0	0.000479094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shimia_sp003990645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus_rubeinfantis	0.109393413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cardinium_sp004354815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108008985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Janthinobacterium_psychrotolerans	0	0	0	0	0	0	0	0	0	0	0.086203484	0	0	0	0.001299632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00193022	0.018694393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methyloversatilis_thermotolerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.50735E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces_B_paucisporeus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052872343	0	0	0	0	0	0	0	0.047129812	0	0	0	0	0	0	0
Caballeronia_sordidicola_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101748268	0.003568062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema_H_azotonutricium	0	0	0	0	0	0	0	0	0	0	0.10384884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
