trys	classifer	names	names2	Rank	accuracy	precision	recall	F1	PR	F1_score
try_0	GB	Log_172	GBLog_172	M06_Log_172	0.985020186	0.92064278	0.885729599	0.900235398	0.816435535	0.951744079
try_2	GB	Log_172	GBLog_172	M06_Log_172	0.985020186	0.92064278	0.885729599	0.900235398	0.816435535	0.951744079
try_3	GB	Log_172	GBLog_172	M06_Log_172	0.985020186	0.92064278	0.885729599	0.900235398	0.816435535	0.951744079
try_4	GB	Log_172	GBLog_172	M06_Log_172	0.985020186	0.92064278	0.885729599	0.900235398	0.816435535	0.951744079
try_0	GB	Log_17265	GBLog_17265	M07_Log_17265	0.986013898	0.926457334	0.874825399	0.897479415	0.812819322	0.955308286
try_1	GB	Log_17265	GBLog_17265	M07_Log_17265	0.986013898	0.926457334	0.874825399	0.897479415	0.812819322	0.955308286
try_2	GB	Log_17265	GBLog_17265	M07_Log_17265	0.986013898	0.926457334	0.874825399	0.897479415	0.812819322	0.955308286
try_3	GB	Log_17265	GBLog_17265	M07_Log_17265	0.986013898	0.926457334	0.874825399	0.897479415	0.812819322	0.955308286
try_4	GB	Log_17265	GBLog_17265	M07_Log_17265	0.986013898	0.926457334	0.874825399	0.897479415	0.812819322	0.955308286
try_0	GB	Log_17246	GBLog_17246	M08_Log_17246	0.985751644	0.918797482	0.882667758	0.897233818	0.812612634	0.951097681
try_1	GB	Log_17246	GBLog_17246	M08_Log_17246	0.985751644	0.918797482	0.882667758	0.897233818	0.812612634	0.951097681
try_2	GB	Log_17246	GBLog_17246	M08_Log_17246	0.985751644	0.918797482	0.882667758	0.897233818	0.812612634	0.951097681
try_3	GB	Log_17246	GBLog_17246	M08_Log_17246	0.985751644	0.918797482	0.882667758	0.897233818	0.812612634	0.951097681
try_4	GB	Log_17246	GBLog_17246	M08_Log_17246	0.985751644	0.918797482	0.882667758	0.897233818	0.812612634	0.951097681
try_0	GB	Log_7235	GBLog_7235	M09_Log_7235	0.986111608	0.929492366	0.869667887	0.895856735	0.810856028	0.956965243
try_1	GB	Log_7235	GBLog_7235	M09_Log_7235	0.986111608	0.929492366	0.869667887	0.895856735	0.810856028	0.956965243
try_2	GB	Log_7235	GBLog_7235	M09_Log_7235	0.986111608	0.929492366	0.869667887	0.895856735	0.810856028	0.956965243
try_3	GB	Log_7235	GBLog_7235	M09_Log_7235	0.986111608	0.929492366	0.869667887	0.895856735	0.810856028	0.956965243
try_4	GB	Log_7235	GBLog_7235	M09_Log_7235	0.986111608	0.929492366	0.869667887	0.895856735	0.810856028	0.956965243
try_0	GB	Log_1725	GBLog_1725	M10_Log_1725	0.986526484	0.928283479	0.870742266	0.895820785	0.809961289	0.956519189
try_1	GB	Log_1725	GBLog_1725	M10_Log_1725	0.986526484	0.928283479	0.870742266	0.895820785	0.809961289	0.956519189
try_2	GB	Log_1725	GBLog_1725	M10_Log_1725	0.986526484	0.928283479	0.870742266	0.895820785	0.809961289	0.956519189
try_3	GB	Log_1725	GBLog_1725	M10_Log_1725	0.986526484	0.928283479	0.870742266	0.895820785	0.809961289	0.956519189
try_4	GB	Log_1725	GBLog_1725	M10_Log_1725	0.986526484	0.928283479	0.870742266	0.895820785	0.809961289	0.956519189
